iter	Passed	Remaining
0	11	22677
1	17	17582
2	24	16403
3	30	15268
4	36	14758
5	43	14590
6	49	14126
7	56	13964
8	62	13791
9	68	13570
10	73	13342
11	79	13241
12	85	13119
13	91	12952
14	97	12863
15	102	12754
16	109	12722
17	114	12642
18	121	12620
19	127	12589
20	132	12527
21	139	12574
22	146	12579
23	152	12577
24	159	12611
25	165	12586
26	171	12562
27	178	12592
28	185	12615
29	192	12663
30	199	12672
31	206	12714
32	214	12799
33	221	12835
34	231	12992
35	240	13127
36	247	13154
37	255	13206
38	263	13238
39	270	13242
40	278	13284
41	286	13354
42	294	13391
43	301	13413
44	309	13442
45	317	13466
46	324	13488
47	332	13523
48	341	13608
49	349	13639
50	360	13780
51	367	13776
52	375	13776
53	382	13781
54	390	13793
55	396	13768
56	403	13744
57	410	13736
58	416	13710
59	424	13711
60	431	13712
61	438	13702
62	445	13685
63	451	13663
64	458	13644
65	464	13617
66	471	13594
67	478	13587
68	486	13622
69	497	13724
70	507	13779
71	517	13851
72	526	13899
73	536	13971
74	545	14013
75	555	14073
76	564	14089
77	571	14079
78	577	14043
79	583	14011
80	590	13978
81	596	13958
82	603	13938
83	609	13911
84	616	13885
85	622	13863
86	629	13850
87	636	13840
88	643	13821
89	650	13801
90	657	13790
91	664	13776
92	671	13771
93	679	13786
94	689	13817
95	699	13864
96	707	13870
97	715	13895
98	723	13896
99	732	13910
100	739	13913
101	748	13935
102	756	13931
103	764	13945
104	772	13947
105	781	13956
106	788	13958
107	797	13963
108	805	13970
109	814	13988
110	822	13993
111	831	14018
112	839	14022
113	849	14048
114	856	14046
115	866	14073
116	874	14077
117	883	14097
118	892	14104
119	901	14130
120	911	14150
121	924	14224
122	936	14295
123	949	14364
124	959	14399
125	973	14476
126	983	14504
127	992	14519
128	1005	14580
129	1017	14642
130	1027	14660
131	1036	14674
132	1047	14700
133	1057	14722
134	1066	14736
135	1080	14813
136	1093	14871
137	1105	14912
138	1115	14937
139	1125	14959
140	1135	14973
141	1145	14985
142	1154	14989
143	1164	15011
144	1173	15017
145	1183	15026
146	1191	15024
147	1201	15030
148	1209	15019
149	1217	15017
150	1226	15020
151	1234	15013
152	1244	15019
153	1251	15005
154	1260	14998
155	1267	14985
156	1276	14980
157	1283	14960
158	1292	14961
159	1300	14950
160	1309	14959
161	1322	15001
162	1337	15076
163	1348	15094
164	1359	15124
165	1371	15150
166	1385	15206
